=== 语义排序结果体验 ===
算法: sorted_hybrid_tsp_opt_10000.txt
单词总数: 10000
【核心性能与质量指标】
- 排序计算耗时: 462.635 ms
- 平均相邻汉明距离: 709.80 (指标越低，相邻单词的语义过渡越连贯越好)
- 最大相邻汉明距离: 916 (指标越低，说明没有突兀的语义“大跳转”)
- 汉明距离 > 128 突变个数: 9995
--------------------------------------------------

00001. handshake          (起点)
00002. housekeeping       (相邻汉明距离: 702)
00003. kill time          (相邻汉明距离: 713)
00004. key ring           (相邻汉明距离: 745)
00005. key name           (相邻汉明距离: 516)
00006. keyed              (相邻汉明距离: 378)
00007. key frame          (相邻汉明距离: 565)
00008. cr                 (相邻汉明距离: 697)
00009. crate              (相邻汉明距离: 437)
00010. cask               (相邻汉明距离: 610)
00011. cable car          (相邻汉明距离: 731)
00012. KMT                (相邻汉明距离: 771)
00013. maker              (相邻汉明距离: 637)
00014. reek               (相邻汉明距离: 619)
00015. ring               (相邻汉明距离: 575)
00016. ac                 (相邻汉明距离: 597)
00017. accepted           (相邻汉明距离: 527)
00018. eligible           (相邻汉明距离: 474)
00019. enable             (相邻汉明距离: 506)
00020. inactive           (相邻汉明距离: 588)
00021. mime               (相邻汉明距离: 739)
00022. SED                (相邻汉明距离: 643)
00023. sal                (相邻汉明距离: 523)
00024. crest              (相邻汉明距离: 584)
00025. continental        (相邻汉明距离: 574)
00026. Iraq               (相邻汉明距离: 595)
00027. Israel             (相邻汉明距离: 572)
00028. Prussian           (相邻汉明距离: 722)
00029. Helsinki           (相邻汉明距离: 788)
00030. his                (相邻汉明距离: 712)
00031. HIN                (相邻汉明距离: 584)
00032. greenhorn          (相邻汉明距离: 747)
00033. showery            (相邻汉明距离: 769)
00034. geno               (相邻汉明距离: 777)
00035. PE                 (相邻汉明距离: 675)
00036. P.C.               (相邻汉明距离: 600)
00037. pensive            (相邻汉明距离: 729)
00038. busily             (相邻汉明距离: 681)
00039. lives              (相邻汉明距离: 698)
00040. lown               (相邻汉明距离: 636)
00041. correct            (相邻汉明距离: 670)
00042. special            (相邻汉明距离: 593)
00043. ursday             (相邻汉明距离: 658)
00044. crow               (相邻汉明距离: 627)
00045. chuck              (相邻汉明距离: 674)
00046. couch              (相邻汉明距离: 722)
00047. dome               (相邻汉明距离: 715)
00048. Rion               (相邻汉明距离: 672)
00049. howl               (相邻汉明距离: 707)
00050. hulking            (相邻汉明距离: 612)
00051. hiding             (相邻汉明距离: 660)
00052. hilly              (相邻汉明距离: 689)
00053. flinty             (相邻汉明距离: 667)
00054. glitch             (相邻汉明距离: 678)
00055. icicle             (相邻汉明距离: 709)
00056. cockle             (相邻汉明距离: 725)
00057. heron              (相邻汉明距离: 713)
00058. horsey             (相邻汉明距离: 638)
00059. hoist              (相邻汉明距离: 662)
00060. hassock            (相邻汉明距离: 667)
00061. hallow             (相邻汉明距离: 654)
00062. haunting           (相邻汉明距离: 582)
00063. hectic             (相邻汉明距离: 697)
00064. irritably          (相邻汉明距离: 663)
00065. frantically        (相邻汉明距离: 642)
00066. crazily            (相邻汉明距离: 543)
00067. cursed             (相邻汉明距离: 659)
00068. maddening          (相邻汉明距离: 743)
00069. make a mess of sth (相邻汉明距离: 689)
00070. go about doing sth. (相邻汉明距离: 647)
00071. look round         (相邻汉明距离: 714)
00072. rough up           (相邻汉明距离: 700)
00073. lumpish            (相邻汉明距离: 706)
00074. futile             (相邻汉明距离: 683)
00075. fiendishly         (相邻汉明距离: 643)
00076. complaisance       (相邻汉明距离: 736)
00077. impassive          (相邻汉明距离: 709)
00078. stability          (相邻汉明距离: 702)
00079. ING                (相邻汉明距离: 719)
00080. give               (相邻汉明距离: 497)
00081. get to             (相邻汉明距离: 537)
00082. get on to...       (相邻汉明距离: 507)
00083. go and see         (相邻汉明距离: 669)
00084. gro                (相邻汉明距离: 718)
00085. glyph              (相邻汉明距离: 601)
00086. dent               (相邻汉明距离: 639)
00087. pan                (相邻汉明距离: 590)
00088. four               (相邻汉明距离: 617)
00089. foot               (相邻汉明距离: 584)
00090. highest            (相邻汉明距离: 646)
00091. judge              (相邻汉明距离: 645)
00092. jam                (相邻汉明距离: 569)
00093. jocose             (相邻汉明距离: 612)
00094. jokingly           (相邻汉明距离: 615)
00095. fly away           (相邻汉明距离: 803)
00096. far out            (相邻汉明距离: 701)
00097. exceeding          (相邻汉明距离: 708)
00098. oversize           (相邻汉明距离: 640)
00099. sarcastic          (相邻汉明距离: 787)
00100. grimaced           (相邻汉明距离: 634)
00101. noxious            (相邻汉明距离: 615)
00102. mate               (相邻汉明距离: 543)
00103. fen                (相邻汉明距离: 456)
00104. fun                (相邻汉明距离: 434)
00105. coop               (相邻汉明距离: 572)
00106. bye                (相邻汉明距离: 636)
00107. kinder             (相邻汉明距离: 742)
00108. queer              (相邻汉明距离: 727)
00109. squalor            (相邻汉明距离: 734)
00110. marble             (相邻汉明距离: 708)
00111. marking            (相邻汉明距离: 724)
00112. mark time          (相邻汉明距离: 499)
00113. last minute        (相邻汉明距离: 714)
00114. limit to           (相邻汉明距离: 698)
00115. maximal            (相邻汉明距离: 656)
00116. make it to         (相邻汉明距离: 686)
00117. executable         (相邻汉明距离: 683)
00118. prove              (相邻汉明距离: 668)
00119. confirm            (相邻汉明距离: 490)
00120. center             (相邻汉明距离: 543)
00121. current            (相邻汉明距离: 538)
00122. Haiti              (相邻汉明距离: 701)
00123. Prussia            (相邻汉明距离: 621)
00124. fred               (相邻汉明距离: 730)
00125. Jones              (相邻汉明距离: 589)
00126. kin                (相邻汉明距离: 585)
00127. kill off           (相邻汉明距离: 627)
00128. cross out          (相邻汉明距离: 709)
00129. highlight          (相邻汉明距离: 753)
00130. high up            (相邻汉明距离: 656)
00131. hefty              (相邻汉明距离: 694)
00132. hearten            (相邻汉明距离: 679)
